campaign_id,case_id,case_version,rubric_version,question_unit_id,question_index,executable_checkpoint,model_identity,output_reference,validity_status,role_relevance,experience_level_appropriateness,clarity,rater_notes
CLH-AI-001,INT-01,1.0,1.0,INT-01-Q01,1,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-01.json,VALID,2,2,2,
CLH-AI-001,INT-01,1.0,1.0,INT-01-Q02,2,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-01.json,VALID,2,2,2,
CLH-AI-001,INT-01,1.0,1.0,INT-01-Q03,3,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-01.json,VALID,2,2,2,
CLH-AI-001,INT-01,1.0,1.0,INT-01-Q04,4,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-01.json,VALID,2,2,2,
CLH-AI-001,INT-01,1.0,1.0,INT-01-Q05,5,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-01.json,VALID,2,2,2,
CLH-AI-001,INT-01,1.0,1.0,INT-01-Q06,6,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-01.json,VALID,2,2,2,
CLH-AI-001,INT-02,1.0,1.0,INT-02-Q01,1,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-02.json,VALID,2,2,2,
CLH-AI-001,INT-02,1.0,1.0,INT-02-Q02,2,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-02.json,VALID,2,2,2,
CLH-AI-001,INT-02,1.0,1.0,INT-02-Q03,3,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-02.json,VALID,2,2,2,
CLH-AI-001,INT-02,1.0,1.0,INT-02-Q04,4,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-02.json,VALID,2,2,2,
CLH-AI-001,INT-02,1.0,1.0,INT-02-Q05,5,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-02.json,VALID,2,2,2,
CLH-AI-001,INT-02,1.0,1.0,INT-02-Q06,6,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-02.json,VALID,2,2,2,
CLH-AI-001,INT-03,1.0,1.0,INT-03-Q01,1,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-03.json,VALID,2,2,2,
CLH-AI-001,INT-03,1.0,1.0,INT-03-Q02,2,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-03.json,VALID,2,2,2,
CLH-AI-001,INT-03,1.0,1.0,INT-03-Q03,3,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-03.json,VALID,2,2,2,
CLH-AI-001,INT-03,1.0,1.0,INT-03-Q04,4,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-03.json,VALID,2,2,2,
CLH-AI-001,INT-03,1.0,1.0,INT-03-Q05,5,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-03.json,VALID,2,1,2,"Role-relevant and clear, but the wording 'before approving payment' can imply payment-approval authority beyond a generic entry-level Junior Accountant role; still usable as practice."
CLH-AI-001,INT-03,1.0,1.0,INT-03-Q06,6,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-03.json,VALID,2,2,2,
CLH-AI-001,INT-04,1.0,1.0,INT-04-Q01,1,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-04.json,VALID,2,1,2,"Role-relevant data-quality topic and clearly worded, but MCAR/MAR terminology is somewhat advanced for the frozen entry-level context; still usable as a stretch question."
CLH-AI-001,INT-04,1.0,1.0,INT-04-Q02,2,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-04.json,VALID,2,2,2,
CLH-AI-001,INT-04,1.0,1.0,INT-04-Q03,3,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-04.json,VALID,2,2,2,
CLH-AI-001,INT-04,1.0,1.0,INT-04-Q04,4,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-04.json,VALID,2,2,2,
CLH-AI-001,INT-04,1.0,1.0,INT-04-Q05,5,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-04.json,VALID,2,2,2,
CLH-AI-001,INT-04,1.0,1.0,INT-04-Q06,6,6b80f91d7016971d58ed9628e8818fabf00d1cd2,gemini-3.6-flash,docs/evaluation/results/v1/ai/raw/interview/INT-04.json,VALID,2,2,2,
